sb_name,b_xelo_n,b_pppg_n,b_ppag_n,b_netrating_n,sos,current_hfa,league_current_ppg
Duke,2256.2427,84.427383,58.362778,26.064602,10.16713,98.897743,148.89412
Michigan,2231.342,89.092705,62.76609,26.326612,12.355568,77.951553,148.89412
Arizona,2210.7405,89.048782,63.394241,25.654535,11.405359,84.998245,148.89412
Florida,2173.1301,89.279442,64.798546,24.480898,10.894296,82.107864,148.89412
Iowa St.,2157.8574,82.927513,60.214439,22.713079,10.311934,97.515617,148.89412
Houston,2150.0466,79.915504,58.048073,21.867434,10.285088,107.33253,148.89412
Purdue,2105.748,85.83989,64.217468,21.622425,11.993295,117.42994,148.89412
St. John's,2077.3887,83.295319,63.046906,20.248419,9.0556746,40.214169,148.89412
Illinois,2077.3291,87.417389,66.441742,20.975641,10.396873,91.754471,148.89412
UConn,2048.7571,79.330299,60.677666,18.652636,9.0628157,69.364967,148.89412
Michigan St.,2032.8801,83.118896,64.331528,18.787363,10.817128,80.226952,148.89412
Gonzaga,2031.2236,82.719849,64.051804,18.668039,5.1066928,82.67881,148.89412
Virginia,2019.2024,81.543655,63.454025,18.089622,8.3318529,80.539162,148.89412
Vanderbilt,2001.3844,87.120842,68.737389,18.383457,10.153694,77.655914,148.89412
Louisville,2001.2523,85.600983,67.456512,18.144472,9.2634068,66.868858,148.89412
Arkansas,2000.0878,92.683136,73.495544,19.187599,10.709802,107.35954,148.89412
Wisconsin,1972.7933,87.769745,70.263779,17.505968,10.638083,97.46962,148.89412
Texas Tech,1972.3236,82.745827,65.99099,16.754841,11.544697,100.36584,148.89412
Tennessee,1970.4119,78.72081,62.623642,16.097166,10.333681,102.15292,148.89412
Nebraska,1970.3802,78.862595,62.745346,16.117252,8.9550533,84.353035,148.89412
Alabama,1964.2625,93.749245,75.689049,18.060196,11.921367,103.515,148.89412
UCLA,1963.2966,82.134567,65.765305,16.369257,9.635128,65.828987,148.89412
Ohio St.,1944.8229,82.912277,67.041855,15.870418,10.214018,90.460831,148.89412
Kentucky,1942.5708,83.388237,67.526756,15.861487,11.355037,74.291908,148.89412
Kansas,1940.976,80.00808,64.668022,15.340056,12.058302,85.887718,148.89412
Saint Mary's (CA),1938.2238,77.69426,62.764877,14.929379,3.5884233,61.6936,148.89412
BYU,1936.5476,87.910347,71.637001,16.27334,10.329499,109.41929,148.89412
North Carolina,1910.2263,83.02684,68.296463,14.730375,8.5319738,59.683861,148.89412
Iowa,1909.6945,78.015396,63.952332,14.063057,9.1436825,106.20278,148.89412
U Miami (FL),1887.3522,82.339302,68.464073,13.875228,6.2285376,33.628857,148.89412
TCU,1876.7333,80.644806,67.3293,13.315506,7.9964118,66.157211,148.89412
Georgia,1874.5582,88.202324,74.071266,14.131062,7.5787964,66.636505,148.89412
Oklahoma,1874.0448,83.361397,69.814232,13.547168,8.477766,106.33705,148.89412
Clemson,1871.2711,76.137238,63.538605,12.598634,8.2073431,99.596077,148.89412
Cincinnati,1868.0806,75.619232,63.18396,12.435265,8.5001383,101.12295,148.89412
Santa Clara,1867.1527,86.000595,72.384735,13.615855,3.2157693,28.967131,148.89412
Utah St.,1862.0286,82.518051,69.47757,13.040485,3.8236368,96.734116,148.89412
South Florida,1853.4399,84.594933,71.615227,12.979705,1.4899762,10.014518,148.89412
Villanova,1847.2764,79.410378,67.215111,12.195261,7.969378,72.455704,148.89412
Auburn,1845.5425,83.393517,70.818825,12.574692,11.502096,80.962212,148.89412
Texas A&M,1840.0824,85.591095,72.969284,12.621818,7.9225769,69.871185,148.89412
