id,name,seed,region,rating
2006,Akron,14,Midwest,76.8
333,Alabama,4,West,87.8
12,Arizona,2,West,91.6
2,Auburn,4,East,90.6
239,Baylor,3,West,87.9
252,Brigham Young,6,East,86.4
232,Charleston,13,West,79.5
228,Clemson,6,West,83.8
2142,Colgate,14,West,76.2
38,Colorado,10,South,84.8
41,Connecticut,1,East,95.6
156,Creighton,3,Midwest,89.6
2168,Dayton,7,West,83.1
2181,Drake,10,East,82.9
150,Duke,4,South,89.4
2184,Duquesne,11,East,79.0
57,Florida,7,South,84.2
2226,Florida Atlantic,8,East,84.8
2250,Gonzaga,5,Midwest,88.0
2253,Grand Canyon,12,West,81.2
248,Houston,1,South,92.1
47,Howard,16,West,68.4
356,Illinois,3,East,89.8
66,Iowa State,2,East,90.9
256,James Madison,12,South,81.2
2305,Kansas,4,Midwest,85.5
96,Kentucky,3,South,88.3
299,Long Beach State,15,West,72.7
2344,Longwood,16,South,73.4
269,Marquette,2,South,85.3
2377,McNeese State,12,Midwest,78.3
127,Michigan State,9,West,86.9
344,Mississippi State,8,West,85.5
147,Montana State,16,Midwest,71.1
2413,Morehead State,14,East,75.9
158,Nebraska,8,South,84.2
2440,Nevada,10,West,82.3
167,New Mexico,11,West,84.2
153,North Carolina,1,West,90.2
152,North Carolina State,11,South,81.9
77,Northwestern,9,East,80.7
2473,Oakland,14,South,74.4
2483,Oregon,11,Midwest,82.5
2509,Purdue,1,Midwest,93.5
2608,Saint Mary's,5,West,84.7
2535,Samford,13,Midwest,78.6
21,San Diego State,5,East,85.6
2579,South Carolina,6,Midwest,82.3
2571,South Dakota State,15,East,74.5
2612,St. Peter's,15,Midwest,71.2
56,Stetson,16,East,70.8
2628,TCU,9,Midwest,85.0
2633,Tennessee,2,Midwest,90.6
251,Texas,7,Midwest,86.6
245,Texas A&M,9,South,85.0
2641,Texas Tech,6,South,83.3
5,UAB,12,East,78.5
328,Utah State,8,Midwest,82.3
261,Vermont,13,South,78.6
258,Virginia,10,Midwest,81.6
265,Washington State,7,East,83.4
98,Western Kentucky,15,South,74.7
275,Wisconsin,5,South,86.6
43,Yale,13,East,79.7
